record_id,dept_name,dept,course_level,course_code,course_name,course_type,credit,course_description,raw_values,source_url,crawled_at,missing_fields,course_code_norm,course_id
aic_education_courses_교과목 안내_d550178826_d5501788__item_0001,AI컴퓨팅학과,aic,1000-level,CS10003,인공지능 기초,Required,,,"Category: 1000-level
Code: CS10003
Course Name: 인공지능 기초
Type: Required",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS10003,aic_education_courses_교과목 안내_d550178826_d5501788__item_0001
aic_education_courses_교과목 안내_d550178826_d5501788__item_0002,AI컴퓨팅학과,aic,2000-level,CS40700,인공지능 개론,Required,,,"Category: 2000-level
Code: CS40700
Course Name: 인공지능 개론
Type: Required",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS40700,aic_education_courses_교과목 안내_d550178826_d5501788__item_0002
aic_education_courses_교과목 안내_d550178826_d5501788__item_0003,AI컴퓨팅학과,aic,2000-level,CS30706,기계학습,Required,,,"Category: 2000-level
Code: CS30706
Course Name: 기계학습
Type: Required",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS30706,aic_education_courses_교과목 안내_d550178826_d5501788__item_0003
aic_education_courses_교과목 안내_d550178826_d5501788__item_0004,AI컴퓨팅학과,aic,2000-level,CS20300,시스템프로그래밍,Elective,,,"Category: 2000-level
Code: CS20300
Course Name: 시스템프로그래밍
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS20300,aic_education_courses_교과목 안내_d550178826_d5501788__item_0004
aic_education_courses_교과목 안내_d550178826_d5501788__item_0005,AI컴퓨팅학과,aic,2000-level,CS30704,인간-컴퓨터 상호작용 개론,Elective,,,"Category: 2000-level
Code: CS30704
Course Name: 인간-컴퓨터 상호작용 개론
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS30704,aic_education_courses_교과목 안내_d550178826_d5501788__item_0005
aic_education_courses_교과목 안내_d550178826_d5501788__item_0006,AI컴퓨팅학과,aic,3000-level,CS30707,강화학습 개론,Elective,,,"Category: 3000-level
Code: CS30707
Course Name: 강화학습 개론
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS30707,aic_education_courses_교과목 안내_d550178826_d5501788__item_0006
aic_education_courses_교과목 안내_d550178826_d5501788__item_0007,AI컴퓨팅학과,aic,3000-level,CS30101,전산기조직,Elective,,,"Category: 3000-level
Code: CS30101
Course Name: 전산기조직
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS30101,aic_education_courses_교과목 안내_d550178826_d5501788__item_0007
aic_education_courses_교과목 안내_d550178826_d5501788__item_0008,AI컴퓨팅학과,aic,3000-level,CS30300,운영체제 및 실험,Elective,,,"Category: 3000-level
Code: CS30300
Course Name: 운영체제 및 실험
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS30300,aic_education_courses_교과목 안내_d550178826_d5501788__item_0008
aic_education_courses_교과목 안내_d550178826_d5501788__item_0009,AI컴퓨팅학과,aic,4000-level,CS40701,그래프 기계학습 및 마이닝,Elective,,,"Category: 4000-level
Code: CS40701
Course Name: 그래프 기계학습 및 마이닝
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS40701,aic_education_courses_교과목 안내_d550178826_d5501788__item_0009
aic_education_courses_교과목 안내_d550178826_d5501788__item_0010,AI컴퓨팅학과,aic,4000-level,CS40709,3차원 데이터를 위한 기계학습,Elective,,,"Category: 4000-level
Code: CS40709
Course Name: 3차원 데이터를 위한 기계학습
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS40709,aic_education_courses_교과목 안내_d550178826_d5501788__item_0010
aic_education_courses_교과목 안내_d550178826_d5501788__item_0011,AI컴퓨팅학과,aic,4000-level,CS40806,웨어러블 사용자 인터페이스,Elective,,,"Category: 4000-level
Code: CS40806
Course Name: 웨어러블 사용자 인터페이스
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS40806,aic_education_courses_교과목 안내_d550178826_d5501788__item_0011
aic_education_courses_교과목 안내_d550178826_d5501788__item_0012,AI컴퓨팅학과,aic,5000-level+,CS50700,인공지능 및 기계학습,Elective,,,"Category: 5000-level+
Code: CS50700
Course Name: 인공지능 및 기계학습
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,"credit, course_description",CS50700,aic_education_courses_교과목 안내_d550178826_d5501788__item_0012
aic_education_courses_교과목 안내_d550178826_d5501788__item_0013,AI컴퓨팅학과,aic,5000-level+,CS59900,컴퓨팅 특강 <리소스 효율적 AI 연구>,Elective,,Course Name: 컴퓨팅 특강 <리소스 효율적 AI 연구>,"Category: 5000-level+
Code: CS59900
Course Name: 컴퓨팅 특강 <리소스 효율적 AI 연구>
Type: Elective",https://aic.kaist.ac.kr/#/education-courses,2026-05-26T13:24:53.541543+00:00,credit,CS59900,aic_education_courses_교과목 안내_d550178826_d5501788__item_0013
