file_name,dept,dept_name,page,status,char_len,message
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,1,empty_or_too_short,23,텍스트가 없거나 너무 짧습니다.
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,2,ok,395,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,3,ok,226,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,4,ok,276,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,5,ok,79,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,6,ok,597,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,7,ok,351,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,8,ok,116,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,9,ok,115,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,10,ok,107,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,11,ok,204,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,12,ok,401,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,13,ok,518,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,14,ok,40,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,15,ok,538,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,16,empty_or_too_short,16,텍스트가 없거나 너무 짧습니다.
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,17,ok,796,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,18,ok,320,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,19,ok,953,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,20,ok,242,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,21,ok,101,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,22,ok,454,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,23,ok,313,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,24,ok,496,1 chunks
AI_Computing_Grad_Info_Session_20260320.pdf,aic,AI컴퓨팅학과,25,ok,235,1 chunks
